Rank;Full Journal Title;ISSN;Journal Impact Factor
11455;Bradleya;0265-086X;0.225
5066;INTERNATIONAL MARKETING REVIEW;0265-1335;1.588
4917;JOURNAL OF MICROENCAPSULATION;0265-2048;1.631
5540;JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS;0265-4075;1.459
10318;IDS BULLETIN-INSTITUTE OF DEVELOPMENT STUDIES;0265-5012;0.465
7902;Language Testing;0265-5322;0.911
8639;COMMUNITY DENTAL HEALTH;0265-539X;0.767
7040;Child Language Teaching & Therapy;0265-6590;1.093
1573;INTERNATIONAL JOURNAL OF HYPERTHERMIA;0265-6736;3.361
11574;EUROPEAN HISTORY QUARTERLY;0265-6914;0.195
6592;ENVIRONMENT AND PLANNING B-PLANNING & DESIGN;0265-8135;1.195
6428;Law & Policy;0265-8240;1.233
777;BIOESSAYS;0265-9247;4.725
3710;JOURNAL OF ENVIRONMENTAL RADIOACTIVITY;0265-931X;2.047
9565;SPACE POLICY;0265-9646;0.596
4305;SOIL USE AND MANAGEMENT;0266-0032;1.823
10637;English Today;0266-0784;0.406
2977;GEOTEXTILES AND GEOMEMBRANES;0266-1144;2.366
3286;INTERNATIONAL SMALL BUSINESS JOURNAL;0266-2426;2.215
7620;ECONOMICS AND PHILOSOPHY;0266-2671;0.971
4693;COMPUTERS AND GEOTECHNICS;0266-352X;1.705
1155;COMPOSITES SCIENCE AND TECHNOLOGY;0266-3538;3.897
10730;German History;0266-3554;0.387
6413;BRITISH JOURNAL OF ORAL & MAXILLOFACIAL SURGERY;0266-4356;1.237
7312;INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE;0266-4623;1.030
3670;ECONOMIC POLICY;0266-4658;2.062
6723;ECONOMETRIC THEORY;0266-4666;1.162
6723;ECONOMETRIC THEORY;0266-4666;1.162
7597;JOURNAL OF TROPICAL ECOLOGY;0266-4674;0.975
7729;EXPERT SYSTEMS;0266-4720;0.947
10562;JOURNAL OF APPLIED STATISTICS;0266-4763;0.419
4772;JOURNAL OF COMPUTER ASSISTED LEARNING;0266-4909;1.679
10694;Planning Perspectives;0266-5433;0.393
4854;INVERSE PROBLEMS;0266-5611;1.651
4186;MIDWIFERY;0266-6138;1.861
4186;MIDWIFERY;0266-6138;1.861
8530;Information Development;0266-6669;0.787
4507;EUROPEAN SOCIOLOGICAL REVIEW;0266-7215;1.760
5096;LETTERS IN APPLIED MICROBIOLOGY;0266-8254;1.579
6397;PROBABILISTIC ENGINEERING MECHANICS;0266-8920;1.241
8653;OXFORD REVIEW OF ECONOMIC POLICY;0266-903X;0.764
7416;MATERIALS SCIENCE AND TECHNOLOGY;0267-0836;1.008
7091;SURFACE ENGINEERING;0267-0844;1.081
1359;CURRENT OPINION IN GASTROENTEROLOGY;0267-1379;3.618
8353;Research Papers in Education;0267-1522;0.820
8780;Annual Review of Applied Linguistics;0267-1905;0.739
6110;HOUSING STUDIES;0267-3037;1.309
7023;EUROPEAN JOURNAL OF COMMUNICATION;0267-3231;1.095
10793;Computer Law & Security Review;0267-3649;0.373
8135;INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT;0267-5730;0.867
8135;INTERNATIONAL JOURNAL OF TECHNOLOGY MANAGEMENT;0267-5730;0.867
11174;COMPUTER SYSTEMS SCIENCE AND ENGINEERING;0267-6192;0.291
5142;SECOND LANGUAGE RESEARCH;0267-6583;1.568
5609;PERFUSION-UK;0267-6591;1.442
5459;SOIL DYNAMICS AND EARTHQUAKE ENGINEERING;0267-7261;1.481
2604;JOURNAL OF QUATERNARY SCIENCE;0267-8179;2.553
3209;LIQUID CRYSTALS;0267-8292;2.244
3107;MUTAGENESIS;0267-8357;2.297
2761;WORK AND STRESS;0267-8373;2.467
1558;JOURNAL OF ANALYTICAL ATOMIC SPECTROMETRY;0267-9477;3.379
4906;CLINICAL BIOMECHANICS;0268-0033;1.636
1181;FOOD HYDROCOLLOIDS;0268-005X;3.858
8419;HERPETOLOGICAL JOURNAL;0268-0130;0.808
3375;JOURNAL OF EDUCATION POLICY;0268-0939;2.174
4165;MIND & LANGUAGE;0268-1064;1.867
6237;NEW TECHNOLOGY WORK AND EMPLOYMENT;0268-1072;1.281
2674;HEALTH POLICY AND PLANNING;0268-1080;2.513
2674;HEALTH POLICY AND PLANNING;0268-1080;2.513
8174;Information Technology for Development;0268-1102;0.857
9973;Literary and Linguistic Computing;0268-1145;0.525
4801;HEALTH EDUCATION RESEARCH;0268-1153;1.667
814;HUMAN REPRODUCTION;0268-1161;4.621
3575;SEMICONDUCTOR SCIENCE AND TECHNOLOGY;0268-1242;2.098
2874;INTERNATIONAL CLINICAL PSYCHOPHARMACOLOGY;0268-1315;2.415
10838;INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY;0268-1900;0.365
2322;JOURNAL OF CHEMICAL TECHNOLOGY AND BIOTECHNOLOGY;0268-2575;2.738
2795;APPLIED ORGANOMETALLIC CHEMISTRY;0268-2605;2.452
1346;BONE MARROW TRANSPLANTATION;0268-3369;3.636
5710;PHLEBOLOGY;0268-3555;1.413
5142;INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY;0268-3768;1.568
6837;Journal of Managerial Psychology;0268-3946;1.136
762;JOURNAL OF INFORMATION TECHNOLOGY;0268-3962;4.775
762;JOURNAL OF INFORMATION TECHNOLOGY;0268-3962;4.775
2388;INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT;0268-4012;2.692
11240;CONTINUITY AND CHANGE;0268-4160;0.276
3419;CURRENT OPINION IN CARDIOLOGY;0268-4705;2.158
9425;INTERNATIONAL SOCIOLOGY;0268-5809;0.621
6828;APHASIOLOGY;0268-7038;1.139
7160;BRITISH JOURNAL OF NEUROSURGERY;0268-8697;1.063
2780;LASERS IN MEDICAL SCIENCE;0268-8921;2.461
4443;ANIMAL GENETICS;0268-9146;1.779
388;BLOOD REVIEWS;0268-960X;6.627
11884;French History;0269-1191;0.075
8613;Social Epistemology;0269-1728;0.769
2897;CLINICAL REHABILITATION;0269-2155;2.403
1308;PALLIATIVE MEDICINE;0269-2163;3.685
4161;DIATOM RESEARCH;0269-249X;1.868
418;ALIMENTARY PHARMACOLOGY & THERAPEUTICS;0269-2813;6.320
4616;ARTIFICIAL INTELLIGENCE REVIEW;0269-2821;1.731
3220;MEDICAL AND VETERINARY ENTOMOLOGY;0269-283X;2.242
4623;BIOMEDICAL CHROMATOGRAPHY;0269-3879;1.729
3627;ENVIRONMENTAL GEOCHEMISTRY AND HEALTH;0269-4042;2.079
4272;JOURNAL OF CLINICAL PHARMACY AND THERAPEUTICS;0269-4727;1.833
2007;PAEDIATRIC AND PERINATAL EPIDEMIOLOGY;0269-5022;2.958
736;ENVIRONMENTAL POLLUTION;0269-7491;4.839
4134;EVOLUTIONARY ECOLOGY;0269-7653;1.875
632;FUNCTIONAL ECOLOGY;0269-8463;5.210
6704;JOURNAL OF PSYCHOPHYSIOLOGY;0269-8803;1.167
6704;JOURNAL OF PSYCHOPHYSIOLOGY;0269-8803;1.167
1344;JOURNAL OF PSYCHOPHARMACOLOGY;0269-8811;3.637
7268;KNOWLEDGE ENGINEERING REVIEW;0269-8889;1.039
11040;SCIENCE IN CONTEXT;0269-8897;0.321
11040;SCIENCE IN CONTEXT;0269-8897;0.321
4308;BRAIN INJURY;0269-9052;1.822
4308;BRAIN INJURY;0269-9052;1.822
9448;CLINICAL LINGUISTICS & PHONETICS;0269-9206;0.617
9448;CLINICAL LINGUISTICS & PHONETICS;0269-9206;0.617
912;AIDS;0269-9370;4.407
10716;PROBABILITY IN THE ENGINEERING AND INFORMATIONAL SCIENCES;0269-9648;0.390
4541;BIOETHICS;0269-9702;1.750
4541;BIOETHICS;0269-9702;1.750
2872;COGNITION & EMOTION;0269-9931;2.418
6658;APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE;0269-994X;1.179
4696;RESEARCH QUARTERLY FOR EXERCISE AND SPORT;0270-1367;1.702
4696;RESEARCH QUARTERLY FOR EXERCISE AND SPORT;0270-1367;1.702
11434;WOMEN & THERAPY;0270-3149;0.229
1239;PROSTATE;0270-4137;3.778
8896;JOURNAL OF FRESHWATER ECOLOGY;0270-5060;0.720
476;JOURNAL OF NEUROSCIENCE;0270-6474;5.924
900;MOLECULAR AND CELLULAR BIOLOGY;0270-7306;4.427
9016;JOURNAL OF FUTURES MARKETS;0270-7314;0.698
146;HEPATOLOGY;0270-9139;11.711
1241;SEMINARS IN NEPHROLOGY;0270-9295;3.773
1959;JOURNAL OF CLINICAL PSYCHOPHARMACOLOGY;0271-0749;3.000
6806;TOPICS IN EARLY CHILDHOOD SPECIAL EDUCATION;0271-1214;1.143
8347;PUBLIC ADMINISTRATION AND DEVELOPMENT;0271-2075;0.821
5580;INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS;0271-2091;1.447
4912;AMERICAN JOURNAL OF INDUSTRIAL MEDICINE;0271-3586;1.632
3768;CURRENT EYE RESEARCH;0271-3683;2.025
5879;LANGUAGE & COMMUNICATION;0271-5309;1.366
2657;NUTRITION RESEARCH;0271-5317;2.523
2657;RADIOGRAPHICS;0271-5333;2.523
709;JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM;0271-678X;4.929
6030;JOURNAL OF PEDIATRIC ORTHOPAEDICS;0271-6798;1.330
4252;SEMINARS IN NEUROLOGY;0271-8235;1.838
7006;TOPICS IN LANGUAGE DISORDERS;0271-8294;1.098
1843;JOURNAL OF CLINICAL IMMUNOLOGY;0271-9142;3.094
6566;IEEE COMPUTER GRAPHICS AND APPLICATIONS;0272-1716;1.203
7048;IEEE MICRO;0272-1732;1.091
3236;STUDIES IN SECOND LANGUAGE ACQUISITION;0272-2631;2.234
11220;Language Problems & Language Planning;0272-2690;0.280
4736;CLINICS IN LABORATORY MEDICINE;0272-2712;1.690
6059;URBAN GEOGRAPHY;0272-3638;1.322
8078;PHYSICAL GEOGRAPHY;0272-3646;0.875
5710;JOURNAL OF EARLY ADOLESCENCE;0272-4316;1.413
4343;PLASMA CHEMISTRY AND PLASMA PROCESSING;0272-4324;1.811
3264;RISK ANALYSIS;0272-4332;2.225
3264;RISK ANALYSIS;0272-4332;2.225
3042;CELLULAR AND MOLECULAR NEUROBIOLOGY;0272-4340;2.328
7547;DRUG DEVELOPMENT RESEARCH;0272-4391;0.984
3724;JOURNAL OF VERTEBRATE PALEONTOLOGY;0272-4634;2.042
2456;JOURNAL OF ENVIRONMENTAL PSYCHOLOGY;0272-4944;2.647
7292;IMA JOURNAL OF APPLIED MATHEMATICS;0272-4960;1.034
4127;IMA JOURNAL OF NUMERICAL ANALYSIS;0272-4979;1.877
2990;CLINICS IN CHEST MEDICINE;0272-5231;2.359
10984;ELECTROMAGNETICS;0272-6343;0.333
8964;PARTICULATE SCIENCE AND TECHNOLOGY;0272-6351;0.707
420;AMERICAN JOURNAL OF KIDNEY DISEASES;0272-6386;6.269
1085;JOURNAL OF OPERATIONS MANAGEMENT;0272-6963;4.000
1085;JOURNAL OF OPERATIONS MANAGEMENT;0272-6963;4.000
277;CLINICAL PSYCHOLOGY REVIEW;0272-7358;8.146
3022;ESTUARINE COASTAL AND SHELF SCIENCE;0272-7714;2.335
6148;ECONOMICS OF EDUCATION REVIEW;0272-7757;1.297
523;SEMINARS IN LIVER DISEASE;0272-8087;5.667
3821;POLYMER COMPOSITES;0272-8397;2.004
2298;CERAMICS INTERNATIONAL;0272-8842;2.758
6009;MERRILL-PALMER QUARTERLY-JOURNAL OF DEVELOPMENTAL PSYCHOLOGY;0272-930X;1.333
4353;AMERICAN JOURNAL OF OCCUPATIONAL THERAPY;0272-9490;1.806
2074;MEDICAL DECISION MAKING;0272-989X;2.908
1544;BULLETIN OF THE AMERICAN MATHEMATICAL SOCIETY;0273-0979;3.391
5727;ADVANCES IN SPACE RESEARCH;0273-1177;1.409
7156;WATER SCIENCE AND TECHNOLOGY;0273-1223;1.064
11158;SOCIOLOGICAL SPECTRUM;0273-2173;0.295
5005;APPLIED BIOCHEMISTRY AND BIOTECHNOLOGY;0273-2289;1.606
751;DEVELOPMENTAL REVIEW;0273-2297;4.800
3256;REGULATORY TOXICOLOGY AND PHARMACOLOGY;0273-2300;2.227
9659;JOURNAL OF TEACHING IN PHYSICAL EDUCATION;0273-5024;0.579
9659;JOURNAL OF TEACHING IN PHYSICAL EDUCATION;0273-5024;0.579
5352;JOURNAL OF FIELD ORNITHOLOGY;0273-8570;1.514
9378;CHILDRENS HEALTH CARE;0273-9615;0.628
1911;RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES;0275-004X;3.039
9359;HUMAN RIGHTS QUARTERLY;0275-0392;0.631
6319;AMERICAN REVIEW OF PUBLIC ADMINISTRATION;0275-0740;1.260
3562;AMERICAN JOURNAL OF PRIMATOLOGY;0275-2565;2.103
2578;OPHTHALMIC AND PHYSIOLOGICAL OPTICS;0275-5408;2.567
7390;NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT;0275-5947;1.013
7132;VETERINARY CLINICAL PATHOLOGY;0275-6382;1.069
6237;CHEMISTRY AND ECOLOGY;0275-7540;1.281
5110;GEO-MARINE LETTERS;0276-0460;1.577
5669;Journal of Macromarketing;0276-1467;1.429
10536;Empirical Studies of the Arts;0276-2374;0.423
1051;INTERNATIONAL JOURNAL OF EATING DISORDERS;0276-3478;4.068
1051;INTERNATIONAL JOURNAL OF EATING DISORDERS;0276-3478;4.068
7902;MOUNTAIN RESEARCH AND DEVELOPMENT;0276-4741;0.911
5840;Research in Social Stratification and Mobility;0276-5624;1.379
1006;ORGANOMETALLICS;0276-7333;4.186
587;MIS QUARTERLY;0276-7783;5.384
587;MIS QUARTERLY;0276-7783;5.384
2252;JOURNAL OF POLICY ANALYSIS AND MANAGEMENT;0276-8739;2.788
7520;UNIVERSITY OF ILLINOIS LAW REVIEW;0276-9948;0.990
2534;PHARMACOTHERAPY;0277-0008;2.592
4212;JOURNAL OF ASTHMA;0277-0903;1.854
5633;INTERNATIONAL JOURNAL OF GYNECOLOGICAL PATHOLOGY;0277-1691;1.437
2905;JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION;0277-2116;2.400
9341;TOXICOLOGICAL AND ENVIRONMENTAL CHEMISTRY;0277-2248;0.634
1984;AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS;0277-3732;2.977
4272;CORNEA;0277-3740;1.833
852;QUATERNARY SCIENCE REVIEWS;0277-3791;4.521
4284;JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY;0277-3813;1.830
10430;Rhetoric Society Quarterly;0277-3945;0.444
5392;WETLANDS;0277-5212;1.504
3549;POLYHEDRON;0277-5387;2.108
9596;WOMENS STUDIES INTERNATIONAL FORUM;0277-5395;0.591
8362;JOURNAL OF FORECASTING;0277-6693;0.818
5277;STATISTICS IN MEDICINE;0277-6715;1.533
207;MASS SPECTROMETRY REVIEWS;0277-7037;9.346
2211;SOCIAL SCIENCE & MEDICINE;0277-9536;2.814
2211;SOCIAL SCIENCE & MEDICINE;0277-9536;2.814
408;IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS;0278-0046;6.383
1256;IEEE TRANSACTIONS ON MEDICAL IMAGING;0278-0062;3.756
6653;IEEE TRANSACTIONS ON COMPUTER-AIDED DESIGN OF INTEGRATED CIRCUITS AND SYSTEMS;0278-0070;1.181
9335;IEEE TECHNOLOGY AND SOCIETY MAGAZINE;0278-0097;0.635
6207;SOCIAL COGNITION;0278-016X;1.286
1457;HEMATOLOGICAL ONCOLOGY;0278-0232;3.494
3473;DISEASE MARKERS;0278-0240;2.137
7846;JOURNAL OF CRUSTACEAN BIOLOGY;0278-0372;0.922
7859;AUDITING-A JOURNAL OF PRACTICE & THEORY;0278-0380;0.920
6262;JOURNAL OF ETHNOBIOLOGY;0278-0771;1.273
6262;JOURNAL OF ETHNOBIOLOGY;0278-0771;1.273
6666;CIRCUITS SYSTEMS AND SIGNAL PROCESSING;0278-081X;1.178
6009;Journal of Primary Prevention;0278-095X;1.333
11920;Current Perspectives in Social Theory;0278-1204;0.056
4917;JOURNAL OF ORAL AND MAXILLOFACIAL SURGERY;0278-2391;1.631
2910;BRAIN AND COGNITION;0278-2626;2.399
2910;BRAIN AND COGNITION;0278-2626;2.399
623;HEALTH AFFAIRS;0278-2715;5.230
623;HEALTH AFFAIRS;0278-2715;5.230
2716;INTERNATIONAL JOURNAL OF ROBOTICS RESEARCH;0278-3649;2.489
5171;JOURNAL OF ANTHROPOLOGICAL ARCHAEOLOGY;0278-4165;1.559
6078;JOURNAL OF ACCOUNTING AND PUBLIC POLICY;0278-4254;1.317
5235;JOURNAL OF ULTRASOUND IN MEDICINE;0278-4297;1.544
3674;International Journal of Hospitality Management;0278-4319;2.061
3806;CONTINENTAL SHELF RESEARCH;0278-4343;2.011
6744;Rehabilitation Nursing;0278-4807;1.156
6744;Rehabilitation Nursing;0278-4807;1.156
926;PROGRESS IN NEURO-PSYCHOPHARMACOLOGY & BIOLOGICAL PSYCHIATRY;0278-5846;4.361
6480;CLINICS IN SPORTS MEDICINE;0278-5919;1.221
3225;JOURNAL OF MANUFACTURING SYSTEMS;0278-6125;2.240
1365;HEALTH PSYCHOLOGY;0278-6133;3.611
1365;HEALTH PSYCHOLOGY;0278-6133;3.611
3935;AEROSOL SCIENCE AND TECHNOLOGY;0278-6826;1.953
1381;FOOD AND CHEMICAL TOXICOLOGY;0278-6915;3.584
2273;JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION;0278-7393;2.776
2273;JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION;0278-7393;2.776
1262;TECTONICS;0278-7407;3.750
4464;JOURNAL OF PSYCHOACTIVE DRUGS;0279-1072;1.775
8862;JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;0279-3695;0.725
8862;JOURNAL OF PSYCHOSOCIAL NURSING AND MENTAL HEALTH SERVICES;0279-3695;0.725
6009;Critical Care Nurse;0279-5442;1.333
6009;Critical Care Nurse;0279-5442;1.333
5330;SCHOOL PSYCHOLOGY REVIEW;0279-6015;1.520
5777;TELLUS SERIES A-DYNAMIC METEOROLOGY AND OCEANOGRAPHY;0280-6495;1.398
2899;TELLUS SERIES B-CHEMICAL AND PHYSICAL METEOROLOGY;0280-6509;2.402
5186;SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE;0281-3432;1.556
4292;GLYCOCONJUGATE JOURNAL;0282-0080;1.828
10302;Journal of Official Statistics;0282-423X;0.467
10302;Journal of Official Statistics;0282-423X;0.467
7186;SCANDINAVIAN JOURNAL OF FOREST RESEARCH;0282-7581;1.056
7164;NORDIC PULP & PAPER RESEARCH JOURNAL;0283-2631;1.062
6504;SCANDINAVIAN JOURNAL OF CARING SCIENCES;0283-9318;1.215
3811;ACTA RADIOLOGICA;0284-1851;2.009
1278;ACTA ONCOLOGICA;0284-186X;3.730
7061;DENTAL MATERIALS JOURNAL;0287-4547;1.087
9927;NEW GENERATION COMPUTING;0288-3635;0.533
4438;KONA Powder and Particle Journal;0288-4534;1.780
8377;ZOOLOGICAL SCIENCE;0289-0003;0.814
8220;JOURNAL OF ETHOLOGY;0289-0771;0.848
4448;Japanese Journal of Mathematics;0289-2316;1.778
11686;SCIENCES SOCIALES ET SANTE;0294-0337;0.160
9647;Annales de Chirurgie Plastique Esthetique;0294-1260;0.581
3658;ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE;0294-1449;2.066
11663;Politix;0295-2319;0.169
3914;EPL;0295-5075;1.963
9464;Physiotherapy Canada;0300-0508;0.614
5665;JOURNAL OF INTERNATIONAL MEDICAL RESEARCH;0300-0605;1.431
1465;CLINICAL ENDOCRINOLOGY;0300-0664;3.487
4751;RHINOLOGY;0300-0729;1.686
8078;RADICAL PHILOSOPHY;0300-211X;0.875
4471;ARCHIVOS DE BRONCONEUMOLOGIA;0300-2896;1.771
5434;NETHERLANDS JOURNAL OF MEDICINE;0300-2977;1.489
2328;ZOOLOGICA SCRIPTA;0300-3256;2.733
5175;PHOTOSYNTHETICA;0300-3604;1.558
8436;LOCAL GOVERNMENT STUDIES;0300-3930;0.804
1210;TOXICOLOGY;0300-483X;3.817
2408;BIOCHEMICAL SOCIETY TRANSACTIONS;0300-5127;2.679
10628;SHILAP-REVISTA DE LEPIDOPTEROLOGIA;0300-5267;0.408
4308;INTERVIROLOGY;0300-5526;1.822
4374;JOURNAL OF PERINATAL MEDICINE;0300-5577;1.798
1833;JOURNAL OF DENTISTRY;0300-5712;3.109
318;INTERNATIONAL JOURNAL OF EPIDEMIOLOGY;0300-5771;7.522
5017;HUMAN ECOLOGY;0300-7839;1.604
2469;CURRENT MEDICAL RESEARCH AND OPINION;0300-7995;2.643
3111;INFECTION;0300-8126;2.294
2507;MOLECULAR AND CELLULAR BIOCHEMISTRY;0300-8177;2.613
5719;CONNECTIVE TISSUE RESEARCH;0300-8207;1.411
458;BASIC RESEARCH IN CARDIOLOGY;0300-8428;6.038
8690;Australian Family Physician;0300-8495;0.759
3097;MEDICAL MICROBIOLOGY AND IMMUNOLOGY;0300-8584;2.302
7569;KLINISCHE PADIATRIE;0300-8630;0.980
7124;TUMORI;0300-8916;1.071
822;REVISTA ESPANOLA DE CARDIOLOGIA;0300-8932;4.596
5417;ACTA NEUROLOGICA BELGICA;0300-9009;1.495
1944;BIOCHIMIE;0300-9084;3.017
2482;PROGRESS IN ORGANIC COATINGS;0300-9440;2.632
3161;SCANDINAVIAN JOURNAL OF IMMUNOLOGY;0300-9475;2.270
2933;BOREAS;0300-9483;2.386
2540;JOURNAL OF NEURAL TRANSMISSION;0300-9564;2.587
581;RESUSCITATION;0300-9572;5.414
4576;UPSALA JOURNAL OF MEDICAL SCIENCES;0300-9734;1.739
3087;SCANDINAVIAN JOURNAL OF RHEUMATOLOGY;0300-9742;2.307
8362;INTERNATIONAL JOURNAL FOR VITAMIN AND NUTRITION RESEARCH;0300-9831;0.818
3525;VETERINARY PATHOLOGY;0300-9858;2.120
7874;PERCEPTION;0301-0066;0.917
7874;PERCEPTION;0301-0066;0.917
119;PROGRESS IN NEUROBIOLOGY;0301-0082;13.177
4513;CHEMICAL PHYSICS;0301-0104;1.758
7148;CLINICAL NEPHROLOGY;0301-0430;1.065
5305;PEDIATRIC RADIOLOGY;0301-0449;1.525
1689;BIOLOGICAL PSYCHOLOGY;0301-0511;3.234
1689;BIOLOGICAL PSYCHOLOGY;0301-0511;3.234
4742;ALLERGOLOGIA ET IMMUNOPATHOLOGIA;0301-0546;1.689
7680;INDIAN JOURNAL OF BIOCHEMISTRY & BIOPHYSICS;0301-1208;0.958
6899;Vasa-European Journal of Vascular Medicine;0301-1526;1.122
7435;ORL-Journal for Oto-Rhino-Laryngology Head and Neck Surgery;0301-1569;1.000
6174;INTERNATIONAL UROLOGY AND NEPHROLOGY;0301-1623;1.292
4818;European Journal of Obstetrics & Gynecology and Reproductive Biology;0301-2115;1.662
10829;SOCIAL BEHAVIOR AND PERSONALITY;0301-2212;0.366
1941;Frontiers of Hormone Research;0301-3073;3.020
2716;RESOURCES POLICY;0301-4207;2.489
1896;ENERGY POLICY;0301-4215;3.045
1896;ENERGY POLICY;0301-4215;3.045
8696;NEW ZEALAND JOURNAL OF ZOOLOGY;0301-4223;0.758
6704;THEORETICAL LINGUISTICS;0301-4428;1.167
5133;ANNALS OF HUMAN BIOLOGY;0301-4460;1.570
5133;ANNALS OF HUMAN BIOLOGY;0301-4460;1.570
2983;BIOPHYSICAL CHEMISTRY;0301-4622;2.363
2780;DIFFERENTIATION;0301-4681;2.461
3093;EXPERIMENTAL HEMATOLOGY;0301-472X;2.303
8328;INDIAN JOURNAL OF OPHTHALMOLOGY;0301-4738;0.825
1801;JOURNAL OF ENVIRONMENTAL MANAGEMENT;0301-4797;3.131
8001;JOURNAL OF NUTRITIONAL SCIENCE AND VITAMINOLOGY;0301-4800;0.890
4712;MOLECULAR BIOLOGY REPORTS;0301-4851;1.698
4794;MYCOPATHOLOGIA;0301-486X;1.671
11159;VETERINARIA MEXICO;0301-5092;0.294
7435;Advances in Anatomy Embryology and Cell Biology;0301-5556;1.000
3102;ULTRASOUND IN MEDICINE AND BIOLOGY;0301-5629;2.298
3237;COMMUNITY DENTISTRY AND ORAL EPIDEMIOLOGY;0301-5661;2.233
4015;RADIATION AND ENVIRONMENTAL BIOPHYSICS;0301-634X;1.923
3182;TRIBOLOGY INTERNATIONAL;0301-679X;2.259
11247;ARCHIVOS DE MEDICINA VETERINARIA;0301-732X;0.275
4968;INTERNATIONAL JOURNAL OF MINERAL PROCESSING;0301-7516;1.617
8703;IRONMAKING & STEELMAKING;0301-9233;0.757
1068;PRECAMBRIAN RESEARCH;0301-9268;4.037
3200;INTERNATIONAL JOURNAL OF MULTIPHASE FLOW;0301-9322;2.250
4496;NEUROPSYCHOBIOLOGY;0302-282X;1.763
87;EUROPEAN UROLOGY;0302-2838;14.976
6428;Science and Public Policy;0302-3427;1.233
2829;Contributions to Nephrology;0302-5144;2.438
11388;HISTORIOGRAPHIA LINGUISTICA;0302-5160;0.240
2016;CELL AND TISSUE RESEARCH;0302-766X;2.948
4507;ARCHIVES OF MICROBIOLOGY;0302-8933;1.760
9384;ASTERISQUE;0303-1179;0.627
11344;Agrekon;0303-1853;0.250
1220;International Journal of Applied Earth Observation and Geoinformation;0303-2434;3.798
5417;BIOSYSTEMS;0303-2647;1.495
4097;COLLOID AND POLYMER SCIENCE;0303-402X;1.890
8002;Topics in Applied Physics;0303-4216;0.889
598;Reviews of Physiology Biochemistry and Pharmacology;0303-4240;5.333
4985;PSYCHIATRISCHE PRAXIS;0303-4259;1.612
5617;ANDROLOGIA;0303-4569;1.441
9815;Acta Reumatologica Portuguesa;0303-464X;0.553
11116;TIERARZTLICHE PRAXIS;0303-6286;0.305
7655;JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND;0303-6758;0.963
4668;JOURNAL OF MATHEMATICAL BIOLOGY;0303-6812;1.716
7914;SCANDINAVIAN JOURNAL OF STATISTICS;0303-6898;0.908
1144;JOURNAL OF CLINICAL PERIODONTOLOGY;0303-6979;3.915
5727;JOURNAL OF CUTANEOUS PATHOLOGY;0303-6987;1.409
1180;MOLECULAR AND CELLULAR ENDOCRINOLOGY;0303-7207;3.859
5835;SOCIAL INDICATORS RESEARCH;0303-8300;1.380
6582;CLINICAL NEUROLOGY AND NEUROSURGERY;0303-8467;1.198
11544;VLAAMS DIERGENEESKUNDIG TIJDSCHRIFT;0303-9021;0.203
11554;Linguistica Antverpiensia New Series-Themes in Translation Studies;0304-2294;0.200
4457;THEORY AND SOCIETY;0304-2421;1.776
1842;GERONTOLOGY;0304-324X;3.096
11188;ALTERNATIVES;0304-3754;0.286
4227;AQUATIC BOTANY;0304-3770;1.846
3151;ECOLOGICAL MODELLING;0304-3800;2.275
465;CANCER LETTERS;0304-3835;5.992
3124;HYDROMETALLURGY;0304-386X;2.290
4256;JOURNAL OF DEVELOPMENT ECONOMICS;0304-3878;1.837
6207;JOURNAL OF ELECTROSTATICS;0304-3886;1.286
738;JOURNAL OF HAZARDOUS MATERIALS;0304-3894;4.836
2719;JOURNAL OF MONETARY ECONOMICS;0304-3932;2.488
3552;NEUROSCIENCE LETTERS;0304-3940;2.107
551;PAIN;0304-3959;5.557
9299;THEORETICAL COMPUTER SCIENCE;0304-3975;0.643
2132;ULTRAMICROSCOPY;0304-3991;2.874
3220;VETERINARY PARASITOLOGY;0304-4017;2.242
