Full Journal Title;ISSN;Journal Impact Factor
JOURNAL OF OCULAR PHARMACOLOGY AND THERAPEUTICS;10807683;1.754
REAL ESTATE ECONOMICS;10808620;0.869
Annual Review of Cell and Developmental Biology;10810706;12.755
JOURNAL OF HEALTH COMMUNICATION;10810730;2.013
ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY;10811206;3.475
JOURNAL OF VECTOR ECOLOGY;10811710;1.243
STUDIES IN NONLINEAR DYNAMICS AND ECONOMETRICS;10811826;0.517
MATHEMATICS AND MECHANICS OF SOLIDS;10812865;1.836
JOURNAL OF ADOLESCENT & ADULT LITERACY;10813004;0.716
Journal of Deaf Studies and Deaf Education;10814159;1.551
JOURNAL OF INVESTIGATIVE MEDICINE;10815589;2.085
JOURNAL OF REFRACTIVE SURGERY;1081597X;3.314
History of the Family;1081602X;0.608
Polar-Political and Legal Anthropology Review;10816976;0.775
FOOD SCIENCE AND TECHNOLOGY INTERNATIONAL;10820132;0.991
PREPARATIVE BIOCHEMISTRY & BIOTECHNOLOGY;10826068;1.114
JOURNAL OF LIQUID CHROMATOGRAPHY & RELATED TECHNOLOGIES;10826076;0.669
SUBSTANCE USE & MISUSE;10826084;1.133
SUBSTANCE USE & MISUSE;10826084;1.133
JOURNAL OF AVIAN MEDICINE AND SURGERY;10826742;0.552
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY;1082720X;1.569
PSYCHOLOGICAL METHODS;1082989X;5.000
JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS;10831363;0.619
JOURNAL OF MAMMARY GLAND BIOLOGY AND NEOPLASIA;10833021;3.143
Journal of Pediatric and Adolescent Gynecology;10833188;1.605
JOURNAL OF BIOMEDICAL OPTICS;10833668;2.556
JOURNAL OF MANAGED CARE PHARMACY;10834087;4.342
TRANSFORMATION GROUPS;10834362;0.662
HELICOBACTER;10834389;3.920
IEEE-ASME TRANSACTIONS ON MECHATRONICS;10834435;3.851
REFRACTORIES AND INDUSTRIAL CERAMICS;10834877;0.335
JOURNAL OF VINYL & ADDITIVE TECHNOLOGY;10835601;1.219
ELECTRONIC COMMUNICATIONS IN PROBABILITY;1083589X;0.467
Journal of Computer-Mediated Communication;10836101;3.541
ORGANIC PROCESS RESEARCH & DEVELOPMENT;10836160;2.922
ELECTRONIC JOURNAL OF PROBABILITY;10836489;0.852
ONCOLOGIST;10837159;4.789
PHARMACEUTICAL DEVELOPMENT AND TECHNOLOGY;10837450;1.566
Foot and Ankle Clinics;10837515;0.794
URBAN ECOSYSTEMS;10838155;1.984
BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION;10838791;3.980
JOURNAL OF HYDROLOGIC ENGINEERING;10840699;1.530
Journal of Bridge Engineering;10840702;1.069
ILAR JOURNAL;10842020;2.077
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;10844309;0.820
ENVIRONMENTAL HISTORY;10845453;0.377
Trends in Amplification;10847138;2.500
JOURNAL OF THE OPTICAL SOCIETY OF AMERICA A-OPTICS IMAGE SCIENCE AND VISION;10847529;1.457
JOURNAL OF NETWORK AND COMPUTER APPLICATIONS;10848045;2.331
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY;10849521;5.181
CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS;10849785;1.715
LAND DEGRADATION & DEVELOPMENT;10853278;8.145
SEMINARS IN CUTANEOUS MEDICINE AND SURGERY;10855629;1.600
JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS;10857117;0.790
CELL BIOCHEMISTRY AND BIOPHYSICS;10859195;1.627
JOURNAL OF THE PERIPHERAL NERVOUS SYSTEM;10859489;2.258
ORGANIZATION & ENVIRONMENT;10860266;2.650
SPE JOURNAL;1086055X;1.442
Independent Review;10861653;0.286
JOURNAL OF LITERACY RESEARCH;1086296X;0.727
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE;10864415;1.853
INTERNATIONAL JOURNAL OF ELECTRONIC COMMERCE;10864415;1.853
Mobilization;1086671X;0.721
JSLS-Journal of the Society of Laparoendoscopic Surgeons;10868089;0.814
METEORITICS & PLANETARY SCIENCE;10869379;2.819
NATURE BIOTECHNOLOGY;10870156;43.113
Journal of Attention Disorders;10870547;3.384
Journal of Attention Disorders;10870547;3.384
JOURNAL OF BIOMOLECULAR SCREENING;10870571;2.218
SLEEP MEDICINE REVIEWS;10870792;7.341
MOTOR CONTROL;10871640;1.037
FUNGAL GENETICS AND BIOLOGY;10871845;2.933
Current Opinion in Organ Transplantation;10872418;2.680
AIDS PATIENT CARE AND STDS;10872914;3.578
AIDS PATIENT CARE AND STDS;10872914;3.578
Medical Education Online;10872981;1.039
Earth Interactions;10873562;1.319
GLASS PHYSICS AND CHEMISTRY;10876596;0.591
AMERICAN JOURNAL OF MANAGED CARE;10880224;1.515
AMERICAN JOURNAL OF MANAGED CARE;10880224;1.515
JOURNAL OF INDUSTRIAL ECOLOGY;10881980;3.265
Focus on Autism and Other Developmental Disabilities;10883576;1.273
Representation Theory;10884165;0.639
JOURNAL OF PORPHYRINS AND PHTHALOCYANINES;10884246;1.087
Journal of Addictions Nursing;10884602;0.480
Journal of Addictions Nursing;10884602;0.480
Intelligent Data Analysis;1088467X;0.631
ALLERGY AND ASTHMA PROCEEDINGS;10885412;2.709
Homicide Studies;10887679;0.878
SCIENTIFIC STUDIES OF READING;10888438;2.745
PERSONALITY AND SOCIAL PSYCHOLOGY REVIEW;10888683;7.571
Applied Developmental Science;10888691;1.364
JOURNAL OF APPLIED ANIMAL WELFARE SCIENCE;10888705;0.936
GENOME RESEARCH;10889051;11.351
BIOREMEDIATION JOURNAL;10889868;0.852
Journal of Lower Genital Tract Disease;10892591;1.936
REVIEW OF GENERAL PSYCHOLOGY;10892680;1.500
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE;10892699;1.047
Clinics in Liver Disease;10893261;2.944
JOURNAL OF PHYSICAL CHEMISTRY A;10895639;2.883
BELL LABS TECHNICAL JOURNAL;10897089;1.200
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION;1089778X;5.908
IEEE COMMUNICATIONS LETTERS;10897798;1.291
IEEE INTERNET COMPUTING;10897801;1.400
SEMINARS IN MUSCULOSKELETAL RADIOLOGY;10897860;1.141
NITRIC OXIDE-BIOLOGY AND CHEMISTRY;10898603;3.760
Journal of PeriAnesthesia Nursing;10899472;0.662
Journal of PeriAnesthesia Nursing;10899472;0.662
VETERINARY JOURNAL;10900233;1.680
JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING;10900241;1.696
JOURNAL OF COMPOSITES FOR CONSTRUCTION;10900268;2.503
MOLECULAR VISION;10900535;2.110
Nonlinear Dynamics Psychology and Life Sciences;10900578;0.979
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK;10900586;1.481
HEALTH EDUCATION & BEHAVIOR;10901981;2.312
Prehospital Emergency Care;10903127;2.104
EUROPEAN JOURNAL OF PAEDIATRIC NEUROLOGY;10903798;1.923
EUROPEAN JOURNAL OF PAIN;10903801;2.900
EVOLUTION AND HUMAN BEHAVIOR;10905138;3.223
EVOLUTION AND HUMAN BEHAVIOR;10905138;3.223
JOURNAL OF CAVE AND KARST STUDIES;10906924;0.857
AIDS AND BEHAVIOR;10907165;3.063
JOURNAL OF MAGNETIC RESONANCE;10907807;2.889
Aesthetic Surgery Journal;1090820X;2.502
Human Factors and Ergonomics in Manufacturing & Service Industries;10908471;0.462
Human Factors and Ergonomics in Manufacturing & Service Industries;10908471;0.462
JOURNAL OF WORLD BUSINESS;10909516;2.811
JOURNAL OF POROUS MEDIA;1091028X;1.035
MACHINING SCIENCE AND TECHNOLOGY;10910344;1.172
JOURNAL OF GASTROINTESTINAL SURGERY;1091255X;2.807
DEPRESSION AND ANXIETY;10914269;5.004
DEPRESSION AND ANXIETY;10914269;5.004
Journal of Mental Health Policy and Economics;10914358;1.367
ACSMS HEALTH & FITNESS JOURNAL;10915397;0.356
INTERNATIONAL JOURNAL OF TOXICOLOGY;10915818;1.077
PETROLEUM SCIENCE AND TECHNOLOGY;10916466;0.418
Families Systems & Health;10917527;1.299
Families Systems & Health;10917527;1.299
JOURNAL OF AAPOS;10918531;0.931
JOURNAL OF ORGANIZATIONAL COMPUTING AND ELECTRONIC COMMERCE;10919392;0.944
INFORMS JOURNAL ON COMPUTING;10919856;1.246
Neurosurgical Focus;10920684;2.546
Clinical Journal of Oncology Nursing;10921095;0.755
Clinical Journal of Oncology Nursing;10921095;0.755
MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS;10922172;14.167
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH;10924388;1.526
JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH;10924388;1.526
NORTHEASTERN NATURALIST;10926194;0.569
Journal of Laparoendoscopic & Advanced Surgical Techniques;10926429;1.297
METAPHOR AND SYMBOL;10926488;0.968
Journal of Aggression Maltreatment & Trauma;10926771;0.598
SYSTEMS RESEARCH AND BEHAVIORAL SCIENCE;10927026;0.991
MATERNAL AND CHILD HEALTH JOURNAL;10927875;1.917
Current Treatment Options in Neurology;10928480;2.150
CNS SPECTRUMS;10928529;3.582
ENVIRONMENTAL ENGINEERING SCIENCE;10928758;1.481
Computer Aided Surgery;10929088;0.606
Annals of Diagnostic Pathology;10929134;1.022
JOURNAL OF MOLECULAR GRAPHICS & MODELLING;10933263;1.674
History of Psychology;10934510;0.667
JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART A-TOXIC/HAZARDOUS SUBSTANCES & ENVIRONMENTAL ENGINEERING;10934529;1.276
JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION;1093474X;1.659
PEDIATRIC AND DEVELOPMENTAL PATHOLOGY;10935266;0.777
Asian Journal of Mathematics;10936106;0.722
JOURNAL OF THE AMERICAN ACADEMY OF PSYCHIATRY AND THE LAW;10936793;1.222
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS;10937404;5.552
COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING;10939687;5.288
Frontiers in Bioscience-Landmark;10939946;2.484
Asia Pacific Journal of Tourism Research;10941665;1.290
REVIEW OF ECONOMIC DYNAMICS;10942025;1.256
INTERNATIONAL JOURNAL OF FOOD PROPERTIES;10942912;1.586
Annual Review of Political Science;10942939;3.457
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;10943412;1.617
JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH;10943412;1.617
INTERNATIONAL JOURNAL OF HIGH PERFORMANCE COMPUTING APPLICATIONS;10943420;1.081
LANGUAGE LEARNING & TECHNOLOGY;10943501;1.382
OPTICS EXPRESS;10944087;3.148
ORGANIZATIONAL RESEARCH METHODS;10944281;4.727
SYSTEMIC PRACTICE AND ACTION RESEARCH;1094429X;0.500
PULMONARY PHARMACOLOGY & THERAPEUTICS;10945539;2.930
JOURNAL OF SCHEDULING;10946136;1.023
SPE RESERVOIR EVALUATION & ENGINEERING;10946470;1.767
JOURNAL OF SERVICE RESEARCH;10946705;2.462
JOURNAL OF CLINICAL DENSITOMETRY;10946950;2.644
IEEE INSTRUMENTATION & MEASUREMENT MAGAZINE;10946969;0.759
NEUROMODULATION;10947159;2.409
PHYSIOLOGICAL GENOMICS;10948341;2.615
REFERENCE & USER SERVICES QUARTERLY;10949054;0.348
ACM Transactions on Information and System Security;10949224;0.759
JOURNAL OF INTERACTIVE MARKETING;10949968;3.256
JOURNAL OF ECT;10950680;1.833
JOURNAL OF ECT;10950680;1.833
Advances in Theoretical and Mathematical Physics;10950761;2.385
PSYCHIATRIC REHABILITATION JOURNAL;1095158X;0.631
WIND ENERGY;10954244;2.891
JOURNAL OF THE TORREY BOTANICAL SOCIETY;10955674;0.541
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY;10956433;2.039
JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY;10956670;2.303
JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION;10962247;1.613
Surgical Infections;10962964;1.316
Journal of Hospitality & Tourism Research;10963480;1.540
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW;10964037;3.146
INTERNATIONAL JOURNAL OF RF AND MICROWAVE COMPUTER-AIDED ENGINEERING;10964290;0.524
COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY B-BIOCHEMISTRY & MOLECULAR BIOLOGY;10964959;1.651
TOXICOLOGICAL SCIENCES;10966080;3.880
JOURNAL OF MEDICINAL FOOD;1096620X;1.844
JOURNAL OF PALLIATIVE MEDICINE;10966218;2.023
GROWTH HORMONE & IGF RESEARCH;10966374;1.448
METABOLIC ENGINEERING;10967176;8.201
MOLECULAR GENETICS AND METABOLISM;10967192;3.093
International Public Management Journal;10967494;1.233
Internet and Higher Education;10967516;2.719
JOURNAL OF HEALTHCARE MANAGEMENT;10969012;0.982
Men and Masculinities;1097184X;1.250
Journal of Global Information Technology Management;1097198X;0.750
MOLECULAR CELL;10972765;13.958
Journal of Public Economic Theory;10973923;0.471
JOURNAL OF SURFACTANTS AND DETERGENTS;10973958;1.853
NATURE NEUROSCIENCE;10976256;16.724
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE;10976647;5.752
Systems Engineering;10981241;0.956
AMERICAN JOURNAL OF EVALUATION;10982140;0.808
JOURNAL OF POSITIVE BEHAVIOR INTERVENTIONS;10983007;1.545
VALUE IN HEALTH;10983015;3.824
VALUE IN HEALTH;10983015;3.824
HEART SURGERY FORUM;10983511;0.343
GENETICS IN MEDICINE;10983600;7.710
PHYSICAL REVIEW SPECIAL TOPICS-ACCELERATORS AND BEAMS;10984402;1.500
Mathematical Thinking and Learning;10986065;0.560
Police Quarterly;10986111;0.800
JOURNAL OF FELINE MEDICINE AND SURGERY;1098612X;1.211
REGIONAL ANESTHESIA AND PAIN MEDICINE;10987339;3.459
PROSTAGLANDINS & OTHER LIPID MEDIATORS;10988823;2.905
AMERICAN JOURNAL OF POTATO RESEARCH;1099209X;1.159
International Journal of Tourism Research;10992340;1.095
TECHNOLOGY REVIEW;1099274X;0.373
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE;10993460;2.046
Entropy;10994300;1.743
JOURNAL OF GENE MEDICINE;1099498X;3.246
EUROPACE;10995129;4.021
JOURNAL OF SANDWICH STRUCTURES & MATERIALS;10996362;2.852
Biological Research for Nursing;10998004;1.604
Cultural Diversity & Ethnic Minority Psychology;10999809;1.790
Souls;10999949;0.179
JOURNAL OF VEGETATION SCIENCE;11009233;3.151
EUROPEAN JOURNAL OF PUBLIC HEALTH;11011262;2.751
EUROPEAN JOURNAL OF PUBLIC HEALTH;11011262;2.751
Young;11033088;0.977
GFF;11035897;1.179
Scandinavian Journal of Occupational Therapy;11038128;0.957
Scandinavian Journal of Occupational Therapy;11038128;0.957
Journal of Forest Economics;11046899;1.185
Journal of Forest Economics;11046899;1.185
Journal of BUON;11070625;0.880
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE;11073756;2.348
MEDITERRANEAN MARINE SCIENCE;1108393X;1.873
Hippokratia;11084189;0.560
JOURNAL OF MUSCULOSKELETAL & NEURONAL INTERACTIONS;11087161;1.638
Operational Research;11092858;0.600
Hormones-International Journal of Endocrinology and Metabolism;11093099;1.190
Chemistry Education Research and Practice;11094028;1.802
Chemistry Education Research and Practice;11094028;1.802
Cancer Genomics & Proteomics;11096535;2.800
Hellenic Journal of Cardiology;11099666;0.940
Egyptian Journal of Biological Pest Control;11101768;0.152
INTERNATIONAL JOURNAL OF PHOTOENERGY;1110662X;1.226
Nigerian Journal of Clinical Practice;11193077;0.524
JOURNAL OF CHEMOTHERAPY;1120009X;1.333
ITALIAN JOURNAL OF FOOD SCIENCE;11201770;0.504
Physica Medica-European Journal of Medical Physics;11201797;1.763
Economia Politica;11202890;0.051
MINERVA BIOTECNOLOGICA;11204826;0.246
IPPOLOGIA;11205776;0.000
Rendiconti Lincei-Matematica e Applicazioni;11206330;0.674
EUROPEAN JOURNAL OF OPHTHALMOLOGY;11206721;1.007
Hip International;11207000;0.889
DISEASES OF THE ESOPHAGUS;11208694;2.146
Epidemiologia & Prevenzione;11209763;0.924
Epidemiologia & Prevenzione;11209763;0.924
New Microbiologica;11217138;1.629
EUROPEAN JOURNAL OF HISTOCHEMISTRY;1121760X;2.421
JOURNAL OF NEPHROLOGY;11218428;1.352
Cadmo;11225165;0.048
History of Economic Ideas;11228792;0.147
Techniques in Coloproctology;11236337;2.320
SARCOIDOSIS VASCULITIS AND DIFFUSE LUNG DISEASES;11240490;1.465
Large Animal Review;11244593;0.143
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity;11244909;1.254
ITALIAN JOURNAL OF ZOOLOGY;11250003;0.814
JOURNAL OF PLANT PATHOLOGY;11254653;1.038
Italian Journal of Agronomy;11254718;0.955
DENDROCHRONOLOGIA;11257865;2.107
PLANT BIOSYSTEMS;11263504;1.360
European Review for Medical and Pharmacological Sciences;11283602;1.575
JOURNAL OF HEADACHE AND PAIN;11292369;3.497
JOURNAL OF LIMNOLOGY;11295767;1.725
Journal of Vascular Access;11297298;1.535
Progress in Nutrition;11298723;0.312
REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS;11300108;1.455
REVISTA IBEROAMERICANA DE MICOLOGIA;11301406;1.444
NEUROCIRUGIA;11301473;0.410
Revista de Psicologia del Deporte;1132239X;0.560
Revista de Historia Industrial;11327200;0.212
Behavioral Psychology-Psicologia Conductual;11329483;0.766
TEST;11330686;1.207
Revista de Economia Aplicada;1133455X;0.100
Ayer;11342277;0.412
ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING;11343060;4.214
Comunicar;11343478;1.438
Top;11345764;0.927
Revista Espanola de Salud Publica;11355727;0.606
Cultura y Educacion;11356405;0.306
Revista de Psicodidactica;11361034;2.054
Anales del Sistema Sanitario De Navarra;11376627;0.783
Anales del Sistema Sanitario De Navarra;11376627;0.783
Emergencias;11376821;2.917
Cuadernos de Economia y Direccion de la Empresa;11385758;0.286
Spanish Journal of Psychology;11387416;0.493
JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY;11387548;2.054
Scripta Nova-Revista Electronica de Geografia y Ciencias Sociales;11389788;0.200
Revista Matematica Complutense;11391138;0.631
Historia Agraria;11391472;0.212
AIDS REVIEWS;11396121;2.068
Educacion XX1;1139613X;0.406
INTERNATIONAL MICROBIOLOGY;11396709;1.157
Iberica;11397241;0.194
ACTAS ESPANOLAS DE PSIQUIATRIA;11399287;0.813
QUATERNAIRE;11422904;0.614
NEW JOURNAL OF CHEMISTRY;11440546;3.277
ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY;1146609X;1.420
EUROPEAN CYTOKINE NETWORK;11485493;2.562
JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN;11510285;0.695
PEDIATRIC ANESTHESIA;11555645;2.082
JOURNAL DE MYCOLOGIE MEDICALE;11565233;0.756
EUROPEAN JOURNAL OF AGRONOMY;11610301;3.186
EUROPEAN REVIEW OF APPLIED PSYCHOLOGY-REVUE EUROPEENNE DE PSYCHOLOGIE APPLIQUEE;11629088;0.662
EUROPEAN JOURNAL OF SOIL BIOLOGY;11645563;1.951
PROGRES EN UROLOGIE;11667087;0.562
CAHIERS AGRICULTURES;11667699;0.384
EUROPEAN JOURNAL OF DERMATOLOGY;11671122;2.069
DRUGS & AGING;1170229X;2.610
PHARMACOECONOMICS;11707690;2.566
PHARMACOECONOMICS;11707690;2.566
CNS DRUGS;11727047;4.910
CLINICAL DRUG INVESTIGATION;11732563;1.806
BIODRUGS;11738804;2.867
PEDIATRIC DRUGS;11745878;2.077
AMERICAN JOURNAL OF CLINICAL DERMATOLOGY;11750561;3.084
American Journal of Cardiovascular Drugs;11753277;2.233
ZOOTAXA;11755326;0.994
English Teaching-Practice and Critique;11758708;0.385
Applied Bionics and Biomechanics;11762322;0.703
Journal of Bioethical Inquiry;11767529;1.204
Journal of Bioethical Inquiry;11767529;1.204
Evolutionary Bioinformatics;11769343;1.404
Molecular Diagnosis & Therapy;11771062;2.602
Curriculum Matters;11771828;0.000
Drug Design Development and Therapy;11778881;2.881
Patient Preference and Adherence;1177889X;1.718
Patient-Patient Centered Outcomes Research;11781653;2.227
Patient-Patient Centered Outcomes Research;11781653;2.227
Clinical Interventions in Aging;11781998;2.133
International Journal of Chronic Obstructive Pulmonary Disease;11782005;3.046
International Journal of Nanomedicine;11782013;4.320
Neuropsychiatric Disease and Treatment;11782021;1.867
Therapeutics and Clinical Risk Management;1178203X;1.903
OncoTargets and Therapy;11786930;2.272
Journal of Pain Research;11787090;2.363
Phytotaxa;11793155;1.087
International Insolvency Review;11800518;0.273
ENVIRONMETRICS;11804009;1.160
JOURNAL OF PSYCHIATRY & NEUROSCIENCE;11804882;5.570
JOURNAL OF PSYCHIATRY & NEUROSCIENCE;11804882;5.570
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS;11877863;1.188
JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS;11877863;1.188
CANADIAN JOURNAL OF INFORMATION AND LIBRARY SCIENCE-REVUE CANADIENNE DES SCIENCES DE L INFORMATION ET DE BIBLIOTHECONOMIE;1195096X;0.094
JOURNAL OF TRAVEL MEDICINE;11951982;1.868
Canadian Journal of Plastic Surgery;11952199;1.053
Plastic Surgery;11952199;0.022
ECOSCIENCE;11956860;0.595
Canadian Journal of Urology;11959479;1.066
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE;11961961;1.453
Current Oncology;11980052;1.829
Canadian Respiratory Journal;11982241;1.016
CLINICAL MICROBIOLOGY AND INFECTION;1198743X;4.575
JOURNAL OF SCHOLARLY PUBLISHING;11989742;0.579
WATER QUALITY RESEARCH JOURNAL OF CANADA;12013080;0.531
Theory and Applications of Categories;1201561X;0.641
INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES;12019712;2.229
JOURNAL OF CUTANEOUS MEDICINE AND SURGERY;12034754;1.191
Pain Research & Management;12036765;1.685
JOURNAL OF ADVANCED OXIDATION TECHNOLOGIES;12038407;0.738
Paediatrics & Child Health;12057088;1.509
Critical Criminology;12058629;0.651
TOPIA-Canadian Journal of Cultural Studies;12060143;0.167
Space and Culture;12063312;0.527
ENVIRONMENTAL REVIEWS;12086053;4.630
Prague Economic Papers;12100455;0.825
Neural Network World;12100552;0.562
Radioengineering;12102512;0.590
LISTY CUKROVARNICKE A REPARSKE;12103306;0.317
Central European Journal of Public Health;12107778;0.525
Central European Journal of Public Health;12107778;0.525
CESKA A SLOVENSKA NEUROLOGIE A NEUROCHIRURGIE;12107859;0.209
EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE;12107913;0.268
Moravian Geographical Reports;12108812;1.093
FOLIA GEOBOTANICA;12119520;1.433
Geografie;12120014;0.415
CZECH JOURNAL OF FOOD SCIENCES;12121800;0.728
CZECH JOURNAL OF ANIMAL SCIENCE;12121819;0.809
Czech Journal of Genetics and Plant Breeding;12121975;0.476
PLANT PROTECTION SCIENCE;12122580;0.661
E & M Ekonomie a Management;12123609;1.242
BIOMEDICAL PAPERS-OLOMOUC;12138118;0.924
Journal of Applied Biomedicine;1214021X;1.509
BULLETIN OF GEOSCIENCES;12141119;1.700
PLANT SOIL AND ENVIRONMENT;12141178;1.039
Acta Geodynamica et Geomaterialia;12149705;0.561
Acta Linguistica Hungarica;12168076;0.074
ACTA ZOOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE;12178837;0.353
ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA;12178950;0.568
PATHOLOGY & ONCOLOGY RESEARCH;12194956;1.940
Romanian Journal of Morphology and Embryology;12200522;0.811
Studies in Informatics and Control;12201766;0.723
Bulletin Mathematique de la Societe des Sciences Mathematiques de Roumanie;12203874;0.395
Transylvanian Review;12211249;0.030
Romanian Reports in Physics;12211451;1.367
Romanian Journal of Physics;1221146X;1.398
Romanian Journal of Legal Medicine;12218618;0.144
Romanian Agricultural Research;12224227;0.272
Industria Textila;12225347;0.570
University Politehnica of Bucharest Scientific Bulletin-Series A-Applied Mathematics and Physics;12237027;0.365
Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica;12241784;0.383
Romanian Biotechnological Letters;12245984;0.381
Studia Universitatis Babes-Bolyai Chemia;12247154;0.148
STRUCTURAL ENGINEERING AND MECHANICS;12254568;1.021
Journal of the Korean Astronomical Society;12254614;0.655
Pacific Focus;12254657;0.263
ETRI JOURNAL;12256463;0.809
Korean Journal for Food Science of Animal Resources;12258563;0.393
JOURNAL OF MICROBIOLOGY;12258873;1.621
Asian Women;1225925X;1.625
ASIAN JOURNAL OF WOMENS STUDIES;12259276;0.214
JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY;1226086X;4.179
KOREA-AUSTRALIA RHEOLOGY JOURNAL;1226119X;1.014
Journal of Magnetics;12261750;0.421
ALGAE;12262617;1.778
Journal of the Korean Statistical Society;12263192;0.353
KOREAN JOURNAL OF INTERNAL MEDICINE;12263303;1.679
EXPERIMENTAL AND MOLECULAR MEDICINE;12263613;5.164
KOREAN JOURNAL OF PHYSIOLOGY & PHARMACOLOGY;12264512;1.544
Journal of the Optical Society of Korea;12264776;0.827
GEOSCIENCES JOURNAL;12264806;0.922
Global Economic Review;1226508X;0.341
WIND AND STRUCTURES;12266116;0.746
FOOD SCIENCE AND BIOTECHNOLOGY;12267708;0.699
KSCE Journal of Civil Engineering;12267988;0.600
BIOTECHNOLOGY AND BIOPROCESS ENGINEERING;12268372;1.211
Journal of Ginseng Research;12268453;3.898
JOURNAL OF ASIA-PACIFIC ENTOMOLOGY;12268615;0.824
Korean Journal of Horticultural Science & Technology;12268763;0.261
JOURNAL OF PLANT BIOLOGY;12269239;1.671
JOURNAL OF COMMUNICATIONS AND NETWORKS;12292370;0.920
KOREAN JOURNAL OF RADIOLOGY;12296929;1.592
MYCOBIOLOGY;12298093;0.573
Journal of Korea Trade;1229828X;0.607
Journal of Veterinary Science;1229845X;1.076
INTERNATIONAL JOURNAL OF AUTOMOTIVE TECHNOLOGY;12299138;0.876
JOURNAL OF CERAMIC PROCESSING RESEARCH;12299162;0.320
FIBERS AND POLYMERS;12299197;1.022
STEEL AND COMPOSITE STRUCTURES;12299367;1.796
POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES;12300322;0.679
JOURNAL OF ANIMAL AND FEED SCIENCES;12301388;0.511
POLISH JOURNAL OF ENVIRONMENTAL STUDIES;12301485;0.790
OPEN SYSTEMS & INFORMATION DYNAMICS;12301612;1.306
ACTA PARASITOLOGICA;12302821;1.293
OPTO-ELECTRONICS REVIEW;12303402;1.611
Topological Methods in Nonlinear Analysis;12303429;0.717
FIBRES & TEXTILES IN EASTERN EUROPE;12303666;0.566
Ochrona Srodowiska;12306169;0.425
Polish Sociological Review;12311413;0.073
International Journal of Occupational Medicine and Environmental Health;12321087;0.780
ANNALS OF AGRICULTURAL AND ENVIRONMENTAL MEDICINE;12321966;0.895
Eastern European Countryside;12328855;0.278
Foundations of Science;12331821;0.912
ACTA CHROMATOGRAPHICA;12332356;0.550
Polish Maritime Research;12332585;0.415
Argumenta Oeconomica;12335835;0.130
POLISH JOURNAL OF PATHOLOGY;12339687;1.240
JOURNAL OF APPLIED GENETICS;12341983;1.929
Discussiones Mathematicae Graph Theory;12343099;0.349
